Customer Number,Campaign Period Sales ,Historical Sales Volume ,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language
246714,$507.31 ,"$192,779.43 ",1973-03-15,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
251966, $-   ,"$363,121.00 ",1985-11-15,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
255302, $-   ,"$501,692.40 ",2013-08-15,22,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
260882, $-   ,"$117,955.20 ",1980-02-15,18,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
268173, $-   ,"$127,709.87 ",1991-04-01,8,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
274058, $-   ,"$452,872.35 ",1989-09-01,11,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
275416,$178.48 ,"$517,224.00 ",1971-05-15,21,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
284729, $-   ,"$350,056.00 ",1991-05-15,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
285962, $-   ,"$29,864.76 ",1984-07-15,4,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,06-Oct,English
290624, $-   ,"$390,473.14 ",1989-12-01,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
292424, $-   ,"$286,829.33 ",1990-01-15,1,TRUE,TRUE,TRUE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N, ,
299477,$304.08 ,"$485,007.60 ",1972-12-15,11,TRUE,TRUE,TRUE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
301458,$323.37 ,"$548,113.28 ",2014-12-18,15,FALSE,FALSE,FALSE,AUTO RENEW,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
315239,$211.26 ,"$71,827.95 ",1959-06-01,17,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,01-May,English
316370, $-   ,"$112,012.50 ",1988-09-15,3,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,06-Oct,English
322630, $-   ,"$178,257.20 ",1992-09-01,10,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
323468,$201.70 ,"$298,508.95 ",1970-12-15,20,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
330469, $-   ,"$948,106.97 ",1992-05-01,22,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,06-Oct,English
331032, $-   ,"$953,837.73 ",1990-11-01,14,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,06-Oct,English
332697,$131.87 ,"$346,545.60 ",1967-09-01,18,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
342310, $-   ,"$105,257.60 ",1990-04-15,16,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,Nov-50,
355155, $-   ,"$2,958,857.00 ",1990-01-01,11,FALSE,TRUE,FALSE,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,N, ,
356828, $-   ,"$71,875.05 ",1991-03-01,4,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
357850, $-   ,"$34,663.57 ",1990-07-01,1,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,06-Oct,
363119, $-   ,"$312,152.99 ",1986-09-15,19,FALSE,FALSE,FALSE,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,06-Oct,English
363574, $-   ,"$173,610.80 ",1988-03-15,15,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
367083, $-   ,"$334,889.20 ",1973-09-15,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,Hindi
372749,"$3,185.00 ","$1,608,425.00 ",1980-01-01,25,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,N, ,
378020, $-   ,"$25,003.33 ",1987-02-15,1,TRUE,TRUE,TRUE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,N, ,
378335, $-   ,"$62,758.67 ",1992-10-01,1,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N, ,
382582,$89.68 ,"$30,670.56 ",1971-08-01,19,FALSE,FALSE,FALSE,NOTICE,,N,N,N,N,N,N,N,N,Y,01-May,English
390302,"$1,299.25 ","$3,383,247.00 ",1994-04-01,21,FALSE,FALSE,FALSE,NOTICE,WEB,Y,Y,Y,Y,Y,Y,Y,N,N,101-500,English
398067, $-   ,"$922,924.80 ",1988-03-01,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,Y,N,N,N,Y,Nov-50,English
399932,$448.05 ,"$138,448.48 ",2001-04-09,3,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,01-May,English
400461,$283.12 ,"$143,824.48 ",1993-11-01,4,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,06-Oct,English
402130, $-   ,"$1,779,435.00 ",1988-10-01,7,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N, ,
402456, $-   ,"$1,118,455.00 ",1983-09-01,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,51-100,English
404852,$125.77 ,"$168,910.01 ",1975-12-15,17,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,01-May,
407095,$195.59 ,"$404,880.17 ",1994-05-15,24,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,06-Oct,English
408612, $-   ,"$70,817.24 ",1983-11-01,30,FALSE,FALSE,FALSE,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,01-May,English
413883,"$2,047.15 ","$380,769.90 ",2009-11-09,6,TRUE,FALSE,TRUE,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,N, ,
420762,$357.66 ,"$572,966.74 ",1994-07-15,18,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,06-Oct,English
427079, $-   ,"$173,556.24 ",1989-12-15,18,FALSE,FALSE,FALSE,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,06-Oct,English
435680,$179.58 ,"$20,831.39 ",1994-02-15,4,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
456530,$375.81 ,"$876,016.44 ",1994-08-01,21,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,06-Oct,English
456634,"$2,411.83 ","$270,125.33 ",2014-05-04,22,FALSE,TRUE,FALSE,NOTICE,,N,N,N,N,N,N,N,N,N, ,
457645,$170.48 ,"$26,253.33 ",1970-07-01,14,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
463477, $-   ,"$1,520,057.76 ",1978-08-15,30,FALSE,FALSE,FALSE,AUTO RENEW,WEB,N,N,N,N,N,N,Y,N,Y,Nov-50,English
465038, $-   ,"$344,148.48 ",1977-08-15,18,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,01-May,English
469927, $-   ,"$289,807.54 ",1983-07-15,12,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,06-Oct,English
473854,$409.76 ,"$86,049.60 ",1975-04-15,21,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,Nov-50,English
475838, $-   ,"$24,411.33 ",1989-05-01,5,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,101-500,
479595, $-   ,"$95,870.00 ",1995-06-01,6,FALSE,FALSE,FALSE,NOTICE,BRANCH (PHONE),Y,N,N,N,N,N,N,N,N,Nov-50,English
481829, $-   ,"$130,069.33 ",1987-07-01,20,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,06-Oct,English
483018, $-   ,"$459,523.68 ",1986-07-15,18,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
488200,$621.80 ,"$790,929.60 ",1974-07-01,24,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English
489757, $-   ,"$142,550.82 ",2013-08-30,13,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
491442, $-   ,"$287,335.36 ",1982-08-01,17,FALSE,FALSE,FALSE,NOTICE,,Y,N,N,N,N,N,N,N,Y,01-May,English
500723, $-   ,"$231,278.40 ",1990-05-01,9,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
501379, $-   ,"$238,402.56 ",1991-01-01,17,FALSE,FALSE,FALSE,NOTICE,WEB,Y,N,N,N,N,N,N,N,Y,Nov-50,English
502922,$159.90 ,"$240,495.62 ",1992-01-01,16,FALSE,FALSE,FALSE,NOTICE,MAIL,N,Y,N,N,N,N,Y,N,Y,01-May,English
505260,$321.53 ,"$360,760.40 ",1992-09-01,11,TRUE,TRUE,TRUE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,Nov-50,English
505881, $-   ,"$92,325.00 ",1987-12-01,1,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N, ,
508609, $-   ,"$291,845.55 ",1992-02-01,22,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
513593,$689.47 ,"$2,275,240.00 ",2016-08-16,22,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English
515003,$180.91 ,"$290,367.43 ",1972-12-15,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
515885, $-   ,"$486,963.36 ",1982-10-01,18,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,51-100,English
517569, $-   ,"$1,561,308.40 ",1991-10-15,21,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,Nov-50,English
522869,$211.13 ,"$452,247.60 ",1983-09-01,17,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,Y,N,Y,N,Y,01-May,English
525403,$327.24 ,"$36,650.67 ",2007-06-29,8,FALSE,TRUE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,Y,N,06-Oct,English
525537,"$2,099.50 ","$680,238.00 ",1975-11-01,6,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,N, ,
530705,$261.92 ,"$766,389.07 ",1993-11-15,22,FALSE,FALSE,FALSE,NOTICE,PHONE,N,N,N,N,N,N,N,Y,Y,06-Oct,English
533054, $-   ,"$1,203,408.00 ",1985-03-01,20,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
533623,"$2,832.67 ","$232,278.67 ",1994-04-15,34,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,Y,Y,N,N,N,N,N, ,
538234, $-   ,"$244,613.60 ",1990-05-01,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
544783,$643.46 ,"$1,415,604.67 ",1994-02-15,20,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,51-100,English
547834, $-   ,"$542,792.00 ",1991-04-01,8,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,51-100,
547914,$235.87 ,"$96,233.60 ",1981-04-01,17,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
548844, $-   ,"$2,683,729.42 ",1991-09-15,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,101-500,English
552441, $-   ,"$483,258.51 ",1995-12-15,8,FALSE,TRUE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,06-Oct,English
554226, $-   ,"$409,633.71 ",1983-07-15,18,TRUE,TRUE,TRUE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
554977, $-   ,"$1,760,491.20 ",1985-03-01,24,TRUE,TRUE,TRUE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English
559402, $-   ,"$141,313.22 ",1996-02-15,5,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,06-Oct,English
560626,"$3,455.50 ","$653,089.50 ",1979-12-16,3,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N, ,
577927,$297.68 ,"$253,322.44 ",1980-12-15,23,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
580760, $-   ,"$106,833.28 ",1990-11-01,6,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,01-May,English
580809, $-   ,"$101,160.22 ",1997-03-15,8,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,01-May,English
583531,$188.11 ,"$485,334.86 ",1975-08-15,20,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
588242, $-   ,"$1,223,666.88 ",1996-02-15,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,06-Oct,English
590600, $-   ,"$817,190.88 ",1996-06-01,22,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,Italian
591403, $-   ,"$563,805.15 ",1979-11-15,22,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,06-Oct,English
596674, $-   ,"$3,305,316.80 ",1992-10-01,12,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,500+,English
598464, $-   ,"$544,643.73 ",1992-02-01,20,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
599293,$265.82 ,"$50,505.17 ",1989-01-01,5,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,01-May,
600098, $-   ,"$253,409.93 ",1988-07-01,22,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English
600423, $-   ,"$493,349.60 ",2007-07-10,24,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,51-100,English
610062,$218.14 ,"$317,611.84 ",1993-08-01,14,FALSE,FALSE,FALSE,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,01-May,English
610331, $-   ,"$230,601.60 ",1989-07-15,20,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
613173, $-   ,"$182,160.00 ",1991-08-01,12,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
617633,"$3,529.28 ","$359,986.90 ",2017-06-04,24,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N, ,
617710, $-   ,"$477,741.33 ",1996-01-01,20,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
618112,$272.57 ,"$372,060.00 ",2000-09-29,13,TRUE,TRUE,TRUE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
623968,"$4,306.90 ","$1,266,228.60 ",1994-04-01,43,FALSE,TRUE,FALSE,AUTO RENEW,PHONE,Y,Y,Y,Y,N,N,N,N,N, ,
626325, $-   ,"$62,081.36 ",1986-02-15,22,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,01-May,English
634463,"$2,695.67 ","$2,992,190.00 ",1991-04-15,10,TRUE,TRUE,TRUE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,N, ,
652288, $-   ,"$246,031.91 ",2005-06-09,20,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,Y,N,Y,06-Oct,English
655178, $-   ,"$64,707.41 ",1953-02-15,13,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
657664,$341.57 ,"$145,848.56 ",2004-08-19,7,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,06-Oct,English
659887,$256.15 ,"$369,884.04 ",1972-04-01,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,06-Oct,English
660147, $-   ,"$236,688.48 ",1987-12-15,14,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,Nov-50,English
660762, $-   ,"$186,198.48 ",1990-12-01,9,FALSE,FALSE,FALSE,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,06-Oct,English
664473,$372.70 ,"$798,326.26 ",1970-04-15,21,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,Nov-50,English
678958, $-   ,"$915,618.38 ",2014-06-29,20,FALSE,FALSE,FALSE,AUTO RENEW,PHONE,N,Y,N,N,N,N,N,N,Y,06-Oct,English
681237, $-   ,"$442,626.80 ",2010-12-03,15,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
684628, $-   ,"$708,728.06 ",1993-10-01,17,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
685272, $-   ,"$766,021.95 ",1990-08-01,13,FALSE,FALSE,FALSE,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,06-Oct,English
686055, $-   ,"$2,301,309.27 ",1988-03-15,17,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English
687498, $-   ,"$2,910,166.35 ",1991-10-15,7,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N, ,
687996, $-   ,"$819,689.52 ",1986-07-01,6,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,N, ,
688068,$580.67 ,"$1,097,460.00 ",1980-12-25,21,FALSE,FALSE,FALSE,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,Nov-50,English
688257, $-   ,"$878,075.50 ",1989-07-01,17,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English
691184, $-   ,"$615,984.00 ",1995-10-15,12,FALSE,TRUE,FALSE,NOTICE,,Y,N,N,N,N,N,N,N,Y,Nov-50,English
696336, $-   ,"$30,805.87 ",2004-05-17,2,FALSE,FALSE,FALSE,NOTICE,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English
697971, $-   ,"$800,891.00 ",2011-04-06,13,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,06-Oct,English
698519,$177.16 ,"$66,967.20 ",1975-05-15,18,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,06-Oct,English
700477,"$2,225.83 ","$2,653,193.33 ",1993-11-15,8,TRUE,TRUE,TRUE,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,N, ,
703589, $-   ,"$106,229.76 ",2010-05-28,8,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N,Nov-50,
703988,$427.02 ,"$1,067,560.00 ",1994-04-15,20,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,06-Oct,English
705377, $-   ,"$819,910.00 ",1986-01-01,21,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
709218, $-   ,"$616,314.40 ",1992-02-01,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
710564, $-   ,"$67,689.60 ",2009-12-16,22,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
712189, $-   ,"$2,370,701.67 ",1989-11-01,7,FALSE,FALSE,FALSE,AUTO RENEW,MAIL,N,N,N,N,N,N,N,N,N, ,
717672,$567.56 ,"$237,240.88 ",1963-09-01,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,06-Oct,English
719924, $-   ,"$504,252.84 ",1997-06-01,21,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,01-May,English
721584, $-   ,"$1,535,940.00 ",1996-02-15,20,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English
724113, $-   ,"$764,740.67 ",2011-03-07,7,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N, ,
730662, $-   ,"$260,560.46 ",1995-10-15,48,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,06-Oct,
734869, $-   ,"$38,773.80 ",1996-06-01,9,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
735844,$245.58 ,"$459,236.38 ",1974-07-01,22,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
738742, $-   ,"$174,068.88 ",1986-03-15,19,TRUE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,01-May,English
739010,$262.91 ,"$671,989.44 ",1967-04-01,18,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
740377, $-   ,"$1,372,328.53 ",1995-07-01,7,TRUE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N, ,
743696,$458.05 ,"$453,472.80 ",2000-02-28,10,FALSE,FALSE,FALSE,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,Nov-50,English
744638, $-   ,"$414,938.03 ",1989-12-01,16,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,Nov-50,English
746308, $-   ,"$3,460,576.00 ",1988-12-01,16,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,500+,English
748022,"$1,988.17 ","$246,532.67 ",1978-04-01,26,TRUE,TRUE,TRUE,NOTICE,WEB,Y,N,N,N,N,N,N,N,N, ,
748991,$211.85 ,"$97,452.53 ",1993-10-01,23,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,01-May,French
750434,$222.84 ,"$110,527.70 ",1978-03-15,8,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
756096, $-   ,"$154,861.71 ",1990-07-01,24,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
